NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
BSESEN,"38,970.70","39,052.06","39,087.83","39,087.83","38,963.60","39,052.06",2019-10-18 09:16:00,2019-10-18,09,16
HDFBAN,"1,228.00","1,220.80","1,222.30","1,229.65","1,222.30","1,220.80",2019-10-18 09:16:00,2019-10-18,09,16
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-18 09:16:00,2019-10-18,09,16
HDFC,"2,066.45","2,088.20","2,095.00","2,095.00","2,066.45","2,088.20",2019-10-18 09:16:00,2019-10-18,09,16
INFTEC,766.40,769.10,766.65,766.70,763.00,769.10,2019-10-18 09:16:00,2019-10-18,09,16
ICIBAN,437.50,440.55,438.40,439.00,436.50,440.55,2019-10-18 09:16:00,2019-10-18,09,16
ITC,245.10,245.85,246.50,246.50,245.00,245.85,2019-10-18 09:16:00,2019-10-18,09,16
TCS,"2,033.75","2,030.70","2,038.00","2,038.00","2,030.00","2,030.70",2019-10-18 09:16:00,2019-10-18,09,16
KOTMAH,"1,593.80","1,603.95","1,603.95","1,604.80","1,591.85","1,603.95",2019-10-18 09:16:00,2019-10-18,09,16
LARTOU,"1,426.30","1,424.25","1,428.00","1,431.35","1,425.80","1,424.25",2019-10-18 09:16:00,2019-10-18,09,16
HINLEV,"2,094.90","2,103.60","2,100.00","2,100.00","2,092.50","2,103.60",2019-10-18 09:16:00,2019-10-18,09,16
AXIBAN,708.35,710.55,710.90,710.90,706.00,710.55,2019-10-18 09:16:00,2019-10-18,09,16
STABAN,264.00,265.45,264.50,264.50,263.50,265.45,2019-10-18 09:16:00,2019-10-18,09,16
BAJFI,"4,099.00","4,105.20","4,120.00","4,120.00","4,082.80","4,105.20",2019-10-18 09:16:00,2019-10-18,09,16
MARUTI,"7,070.00","7,123.10","7,105.00","7,105.00","7,062.95","7,123.10",2019-10-18 09:16:00,2019-10-18,09,16
INDBA,"1,328.25","1,339.80","1,338.00","1,338.00","1,323.00","1,339.80",2019-10-18 09:16:00,2019-10-18,09,16
ASIPAI,"1,809.30","1,812.95","1,812.95","1,815.65","1,809.30","1,812.95",2019-10-18 09:16:00,2019-10-18,09,16
BHAAIR,383.90,385.75,385.00,385.00,382.70,385.75,2019-10-18 09:16:00,2019-10-18,09,16
