NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
BSESEN,38970.70,39052.06,39087.83,39087.83,38963.60,39052.06,-81.36,-0.21,NA,09:16:00.972,NA,NA,2019-10-18 09:16:00,2019-10-18,09,16
HDFBAN,1228.00,1220.80,1222.30,1229.65,1222.30,1220.80,7.20,+0.59,2900,09:16:03.000,1285.00,942.20,2019-10-18 09:16:00,2019-10-18,09,16
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-18 09:16:00,2019-10-18,09,16
HDFC,2066.45,2088.20,2095.00,2095.00,2066.45,2088.20,-21.75,-1.04,1052,09:16:06.000,2357.00,1646.00,2019-10-18 09:16:00,2019-10-18,09,16
INFTEC,766.20,769.10,766.65,766.70,763.00,769.10,-2.90,-0.38,7697,09:16:09.000,847.40,600.65,2019-10-18 09:16:00,2019-10-18,09,16
ICIBAN,437.50,440.55,438.40,439.00,436.50,440.55,-3.05,-0.69,24156,09:16:11.000,458.45,310.30,2019-10-18 09:16:00,2019-10-18,09,16
ITC,245.20,245.85,246.50,246.50,245.00,245.85,-0.65,-0.26,2868,09:16:12.000,310.00,234.10,2019-10-18 09:16:00,2019-10-18,09,16
TCS,2033.75,2030.70,2038.00,2038.00,2030.00,2030.70,3.05,+0.15,1128,09:16:15.000,2296.00,1784.00,2019-10-18 09:16:00,2019-10-18,09,16
KOTMAH,1593.80,1603.95,1603.95,1604.80,1591.85,1603.95,-10.15,-0.63,590,09:16:17.000,1682.40,1099.00,2019-10-18 09:16:00,2019-10-18,09,16
LARTOU,1426.30,1424.25,1428.00,1431.35,1425.80,1424.25,2.05,+0.14,1853,09:16:19.000,1606.70,1183.40,2019-10-18 09:16:00,2019-10-18,09,16
HINLEV,2094.90,2103.60,2100.00,2100.00,2092.50,2103.60,-8.70,-0.41,457,09:16:19.000,2108.00,1522.00,2019-10-18 09:16:00,2019-10-18,09,16
AXIBAN,708.25,710.55,710.90,710.90,706.00,710.55,-2.30,-0.32,4814,09:16:21.000,826.55,534.15,2019-10-18 09:16:00,2019-10-18,09,16
STABAN,264.00,265.45,264.50,264.50,263.50,265.45,-1.45,-0.55,22875,09:16:24.000,373.70,244.35,2019-10-18 09:16:00,2019-10-18,09,16
BAJFI,4099.00,4105.20,4120.00,4120.00,4082.80,4105.20,-6.20,-0.15,981,09:16:27.000,4115.25,2000.80,2019-10-18 09:16:00,2019-10-18,09,16
MARUTI,7070.00,7123.10,7105.00,7105.00,7062.95,7123.10,-53.10,-0.75,951,09:16:28.000,7929.00,5447.00,2019-10-18 09:16:00,2019-10-18,09,16
INDBA,1328.25,1339.80,1338.00,1338.00,1323.00,1339.80,-11.55,-0.86,3920,09:16:32.000,1835.00,1192.00,2019-10-18 09:16:00,2019-10-18,09,16
ASIPAI,1809.30,1812.95,1812.95,1815.65,1809.30,1812.95,-3.65,-0.20,556,09:16:35.000,1824.15,1119.60,2019-10-18 09:16:00,2019-10-18,09,16
BHAAIR,383.30,385.75,385.00,385.00,382.70,385.75,-2.45,-0.64,2328,09:16:37.000,396.55,264.41,2019-10-18 09:16:00,2019-10-18,09,16
HCLTEC,1092.00,1092.90,1103.00,1103.00,1090.95,1092.90,-0.90,-0.08,98,09:16:40.000,1190.00,920.15,2019-10-18 09:16:00,2019-10-18,09,16
TITIND,1280.35,1276.85,1287.70,1287.70,1274.40,1276.85,3.50,+0.27,1307,09:16:43.000,1345.55,766.65,2019-10-18 09:16:00,2019-10-18,09,16
MAHMAH,589.40,593.15,589.75,591.10,588.00,593.15,-3.75,-0.63,1155,09:16:45.000,814.00,502.85,2019-10-18 09:16:00,2019-10-18,09,16
BAFINS,8294.50,8295.65,8362.00,8362.00,8282.45,8295.65,-1.15,-0.01,177,09:16:48.000,8668.65,4960.00,2019-10-18 09:16:00,2019-10-18,09,16
NTPC,118.80,118.60,119.80,119.80,118.55,118.60,0.20,+0.17,2902,09:16:49.000,145.85,106.71,2019-10-18 09:16:00,2019-10-18,09,16
NESIND,14418.65,14512.75,14510.00,14512.75,14418.65,14512.75,-94.10,-0.65,26,09:16:52.000,14606.60,9205.00,2019-10-18 09:16:00,2019-10-18,09,16
POWGRI,197.35,197.70,197.00,197.70,197.00,197.70,-0.35,-0.18,1528,09:16:55.000,216.20,173.05,2019-10-18 09:16:00,2019-10-18,09,16
ULTCEM,4260.00,4257.40,4260.00,4265.65,4256.90,4257.40,2.60,+0.06,46,09:16:56.000,4903.90,3263.70,2019-10-18 09:16:00,2019-10-18,09,16
TECMAH,729.15,726.25,724.85,729.15,723.05,726.25,2.90,+0.40,1958,09:16:57.000,846.00,607.90,2019-10-18 09:16:00,2019-10-18,09,16
SUNPHA,397.85,401.40,401.60,401.60,397.80,401.40,-3.55,-0.88,5219,09:16:58.000,616.50,350.40,2019-10-18 09:16:00,2019-10-18,09,16
ONGC,140.80,141.35,141.00,141.00,140.00,141.35,-0.55,-0.39,2907,09:17:01.000,178.95,115.55,2019-10-18 09:16:00,2019-10-18,09,16
BAAUTO,3100.00,3110.30,3120.00,3123.45,3091.10,3110.30,-10.30,-0.33,297,09:17:02.000,3145.55,2400.00,2019-10-18 09:16:00,2019-10-18,09,16
BHARAS,NA,6053.45,NA,NA,NA,6053.45,NA,NA,NA,09:15:02.000,6539.00,3352.10,2019-10-18 09:16:00,2019-10-18,09,16
INDOIL,147.05,146.45,147.65,147.65,145.95,146.45,0.60,+0.41,1656,09:17:07.000,170.40,116.10,2019-10-18 09:16:00,2019-10-18,09,16
COALIN,198.20,199.35,199.00,199.00,198.00,199.35,-1.15,-0.58,14249,09:17:10.000,288.30,177.80,2019-10-18 09:16:00,2019-10-18,09,16
WIPRO,249.40,248.05,248.10,249.50,248.10,248.05,1.35,+0.54,1338,09:17:11.000,301.55,220.50,2019-10-18 09:16:00,2019-10-18,09,16
HERHON,2631.70,2628.60,2629.00,2631.70,2615.10,2628.60,3.10,+0.12,312,09:17:14.000,3382.70,2228.25,2019-10-18 09:16:00,2019-10-18,09,16
BRIIND,3225.95,3245.20,3244.00,3244.00,3225.00,3245.20,-19.25,-0.59,136,09:17:15.000,3443.90,2302.00,2019-10-18 09:16:00,2019-10-18,09,16
UNIP,590.80,592.40,591.70,591.90,589.00,592.40,-1.60,-0.27,1018,09:17:17.000,709.25,390.53,2019-10-18 09:16:00,2019-10-18,09,16
DRREDD,2719.00,2726.65,2722.50,2722.50,2719.00,2726.65,-7.65,-0.28,24,09:17:19.000,2965.20,2065.30,2019-10-18 09:16:00,2019-10-18,09,16
ADAPOR,409.20,408.95,410.00,410.95,408.45,408.95,0.25,+0.06,1579,09:17:21.000,430.00,293.95,2019-10-18 09:16:00,2019-10-18,09,16
GRASIM,721.15,724.75,724.75,724.75,721.10,724.75,-3.60,-0.50,333,09:17:22.000,958.55,635.60,2019-10-18 09:16:00,2019-10-18,09,16
VEDLIM,148.95,148.15,148.30,148.95,148.00,148.15,0.80,+0.54,7904,09:17:23.000,228.00,125.70,2019-10-18 09:16:00,2019-10-18,09,16
HINDAL,187.70,188.85,189.00,189.00,187.50,188.85,-1.15,-0.61,4506,09:17:25.000,246.00,171.25,2019-10-18 09:16:00,2019-10-18,09,16
TATSTE,353.65,355.65,355.65,355.65,352.40,355.65,-2.00,-0.56,22910,09:17:28.000,610.00,320.30,2019-10-18 09:16:00,2019-10-18,09,16
EICMOT,20406.05,20518.00,20550.15,20565.90,20406.05,20518.00,-111.95,-0.55,235,09:17:31.000,25300.00,15196.95,2019-10-18 09:16:00,2019-10-18,09,16
GAIL,128.15,128.70,128.90,128.90,128.00,128.70,-0.55,-0.43,2986,09:17:33.000,190.98,119.65,2019-10-18 09:16:00,2019-10-18,09,16
JSWSTE,221.30,223.35,223.90,223.90,220.80,223.35,-2.05,-0.92,8542,09:17:34.000,378.05,201.90,2019-10-18 09:16:00,2019-10-18,09,16
BHAINF,255.00,257.20,257.50,257.50,254.95,257.20,-2.20,-0.86,1215,09:17:36.000,333.80,238.70,2019-10-18 09:16:00,2019-10-18,09,16
CIPLA,443.90,446.30,448.15,448.75,443.45,446.30,-2.40,-0.54,4145,09:17:38.000,646.25,389.55,2019-10-18 09:16:00,2019-10-18,09,16
TATMOT,138.25,138.15,140.00,140.00,136.75,138.15,0.10,+0.07,162462,09:17:40.000,239.30,106.00,2019-10-18 09:16:00,2019-10-18,09,16
ZEEENT,258.65,264.70,247.95,262.80,247.95,264.70,-6.05,-2.29,89294,09:17:42.000,506.10,203.70,2019-10-18 09:16:00,2019-10-18,09,16
YESBAN,46.80,47.40,46.80,47.20,46.00,47.40,-0.60,-1.27,720404,09:17:44.000,285.90,29.05,2019-10-18 09:16:00,2019-10-18,09,16
BSESEN,38994.81,39052.06,39087.83,39087.83,38963.60,39052.06,-57.25,-0.15,NA,09:17:46.143,NA,NA,2019-10-18 09:17:46,2019-10-18,09,17
HDFBAN,1226.00,1220.80,1222.30,1229.65,1222.30,1220.80,5.20,+0.43,4841,09:17:48.000,1285.00,942.20,2019-10-18 09:17:46,2019-10-18,09,17
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-18 09:17:46,2019-10-18,09,17
HDFC,2070.20,2088.20,2095.00,2095.00,2065.00,2088.20,-18.00,-0.86,6323,09:17:51.000,2357.00,1646.00,2019-10-18 09:17:46,2019-10-18,09,17
INFTEC,768.65,769.10,766.65,768.65,763.00,769.10,-0.45,-0.06,10254,09:17:54.000,847.40,600.65,2019-10-18 09:17:46,2019-10-18,09,17
ICIBAN,437.70,440.55,438.40,439.00,436.50,440.55,-2.85,-0.65,34163,09:17:56.000,458.45,310.30,2019-10-18 09:17:46,2019-10-18,09,17
