NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
BSESEN,"38,321.19","37,880.40","37,994.48","38,337.71","37,961.08","37,880.40",2019-10-11 09:52:52,2019-10-11,09,52
HDFBAN,"1,220.00","1,199.95","1,213.00","1,224.10","1,209.60","1,199.95",2019-10-11 09:52:52,2019-10-11,09,52
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-11 09:52:52,2019-10-11,09,52
HDFC,"2,017.25","1,987.75","2,000.00","2,024.90","1,995.00","1,987.75",2019-10-11 09:52:52,2019-10-11,09,52
INFTEC,809.10,782.90,785.95,813.00,777.00,782.90,2019-10-11 09:52:52,2019-10-11,09,52
ICIBAN,431.70,423.70,429.40,433.30,427.70,423.70,2019-10-11 09:52:52,2019-10-11,09,52
ITC,244.20,242.95,243.00,246.20,242.95,242.95,2019-10-11 09:52:52,2019-10-11,09,52
TCS,"1,960.00","2,004.40","1,933.00","1,960.90","1,929.00","2,004.40",2019-10-11 09:52:52,2019-10-11,09,52
KOTMAH,"1,616.25","1,585.85","1,592.00","1,624.90","1,592.00","1,585.85",2019-10-11 09:52:52,2019-10-11,09,52
LARTOU,"1,447.20","1,425.35","1,432.40","1,449.90","1,430.65","1,425.35",2019-10-11 09:52:52,2019-10-11,09,52
HINLEV,"1,992.00","1,967.50","1,995.00","1,996.80","1,979.20","1,967.50",2019-10-11 09:52:52,2019-10-11,09,52
AXIBAN,683.45,672.90,675.10,685.90,675.10,672.90,2019-10-11 09:52:52,2019-10-11,09,52
STABAN,259.90,254.05,256.70,261.40,255.50,254.05,2019-10-11 09:52:52,2019-10-11,09,52
BAJFI,"4,003.00","3,948.45","3,973.00","4,015.00","3,969.00","3,948.45",2019-10-11 09:52:52,2019-10-11,09,52
MARUTI,"6,690.20","6,610.15","6,650.00","6,719.25","6,630.00","6,610.15",2019-10-11 09:52:52,2019-10-11,09,52
INDBA,"1,241.90","1,228.95","1,240.00","1,253.85","1,216.90","1,228.95",2019-10-11 09:52:52,2019-10-11,09,52
ASIPAI,"1,792.80","1,778.45","1,782.00","1,801.60","1,781.05","1,778.45",2019-10-11 09:52:52,2019-10-11,09,52
BHAAIR,374.00,377.40,376.40,377.40,372.55,377.40,2019-10-11 09:52:52,2019-10-11,09,52
HCLTEC,"1,088.00","1,063.65","1,057.80","1,088.00","1,042.50","1,063.65",2019-10-11 09:52:52,2019-10-11,09,52
TITIND,"1,229.70","1,235.00","1,240.00","1,241.15","1,228.75","1,235.00",2019-10-11 09:52:52,2019-10-11,09,52
MAHMAH,570.40,566.55,570.00,575.50,568.70,566.55,2019-10-11 09:52:52,2019-10-11,09,52
BAFINS,"8,300.50","8,201.45","8,224.00","8,328.70","8,224.00","8,201.45",2019-10-11 09:52:52,2019-10-11,09,52
NTPC,117.70,117.10,116.70,118.00,116.70,117.10,2019-10-11 09:52:52,2019-10-11,09,52
NESIND,"13,940.00","13,839.85","13,840.00","13,959.75","13,840.00","13,839.85",2019-10-11 09:52:52,2019-10-11,09,52
POWGRI,199.65,199.15,199.90,201.00,199.00,199.15,2019-10-11 09:52:52,2019-10-11,09,52
ULTCEM,"4,053.30","3,980.55","3,982.00","4,085.00","3,982.00","3,980.55",2019-10-11 09:52:52,2019-10-11,09,52
TECMAH,707.25,710.85,702.50,709.25,698.05,710.85,2019-10-11 09:52:52,2019-10-11,09,52
SUNPHA,383.30,386.95,386.95,388.90,382.25,386.95,2019-10-11 09:52:52,2019-10-11,09,52
ONGC,128.35,125.40,125.45,128.95,125.45,125.40,2019-10-11 09:52:52,2019-10-11,09,52
BAAUTO,"2,914.20","2,888.00","2,878.00","2,924.50","2,878.00","2,888.00",2019-10-11 09:52:52,2019-10-11,09,52
BHARAS,"5,805.80","5,658.30","5,800.00","5,805.80","5,800.00","5,658.30",2019-10-11 09:52:52,2019-10-11,09,52
INDOIL,147.40,148.10,148.00,148.90,146.35,148.10,2019-10-11 09:52:52,2019-10-11,09,52
COALIN,189.30,184.50,185.00,189.80,185.00,184.50,2019-10-11 09:52:52,2019-10-11,09,52
WIPRO,239.25,239.15,237.60,240.00,236.70,239.15,2019-10-11 09:52:52,2019-10-11,09,52
